x,0,0
x,1,0
x,2,0
x,3,0
x,4,0
x,5,0
x,6,0
x,7,0
x,8,0
 ,9,0
x,10,0
x,11,0
x,12,0
x,13,0
 ,14,0
x,15,0
x,16,0
x,17,0
x,18,0
x,19,0
x,20,0
x,21,0
x,22,0
x,23,0
K,0,1
K,1,1
K,2,1
K,3,1
K,4,1
K,5,1
x,6,1
 ,7,1
 ,8,1
 ,9,1
B,10,1
B,11,1
B,12,1
B,13,1
 ,14,1
 ,15,1
 ,16,1
x,17,1
C,18,1
C,19,1
C,20,1
C,21,1
C,22,1
C,23,1
K,0,2
K,1,2
K,2,2
K,3,2
K,4,2
K,5,2
 ,6,2
 ,7,2
B,8,2
B,9,2
B,10,2
B,11,2
B,12,2
B,13,2
B,14,2
B,15,2
 ,16,2
 ,17,2
C,18,2
C,19,2
C,20,2
C,21,2
C,22,2
C,23,2
K,0,3
K,1,3
K,2,3
K,3,3
K,4,3
K,5,3
 ,6,3
 ,7,3
B,8,3
B,9,3
B,10,3
B,11,3
B,12,3
B,13,3
B,14,3
B,15,3
 ,16,3
 ,17,3
C,18,3
C,19,3
C,20,3
C,21,3
C,22,3
C,23,3
K,0,4
K,1,4
K,2,4
K,3,4
K,4,4
K,5,4
 ,6,4
 ,7,4
B,8,4
B,9,4
B,10,4
B,11,4
B,12,4
B,13,4
B,14,4
B,15,4
 ,16,4
 ,17,4
C,18,4
C,19,4
C,20,4
C,21,4
C,22,4
C,23,4
K,0,5
K,1,5
K,2,5
K,3,5
K,4,5
K,5,5
 ,6,5
D,7,5
B,8,5
B,9,5
B,10,5
B,11,5
B,12,5
B,13,5
B,14,5
B,15,5
D,16,5
 ,17,5
D,18,5
C,19,5
C,20,5
C,21,5
C,22,5
x,23,5
x,0,6
K,1,6
K,2,6
K,3,6
K,4,6
K,5,6
 ,6,6
 ,7,6
B,8,6
B,9,6
B,10,6
B,11,6
B,12,6
B,13,6
B,14,6
B,15,6
 ,16,6
 ,17,6
 ,18,6
 ,19,6
 ,20,6
 ,21,6
 ,22,6
 ,23,6
 ,0,7
 ,1,7
 ,2,7
 ,3,7
D,4,7
 ,5,7
 ,6,7
 ,7,7
B,8,7
B,9,7
B,10,7
B,11,7
B,12,7
B,13,7
B,14,7
B,15,7
 ,16,7
 ,17,7
 ,18,7
 ,19,7
 ,20,7
 ,21,7
 ,22,7
x,23,7
x,0,8
 ,1,8
 ,2,8
 ,3,8
 ,4,8
 ,5,8
 ,6,8
 ,7,8
 ,8,8
D,9,8
 ,10,8
 ,11,8
 ,12,8
 ,13,8
D,14,8
 ,15,8
 ,16,8
 ,17,8
I,18,8
I,19,8
I,20,8
I,21,8
I,22,8
I,23,8
N,0,9
N,1,9
N,2,9
N,3,9
N,4,9
 ,5,9
 ,6,9
 ,7,9
 ,8,9
 ,9,9
 ,10,9
 ,11,9
 ,12,9
 ,13,9
 ,14,9
 ,15,9
 ,16,9
D,17,9
I,18,9
I,19,9
I,20,9
I,21,9
I,22,9
I,23,9
N,0,10
N,1,10
N,2,10
N,3,10
N,4,10
N,5,10
N,6,10
N,7,10
 ,8,10
 ,9,10
R,10,10
R,11,10
R,12,10
R,13,10
R,14,10
 ,15,10
 ,16,10
 ,17,10
I,18,10
I,19,10
I,20,10
I,21,10
I,22,10
I,23,10
N,0,11
N,1,11
N,2,11
N,3,11
N,4,11
N,5,11
N,6,11
N,7,11
 ,8,11
 ,9,11
R,10,11
R,11,11
R,12,11
R,13,11
R,14,11
 ,15,11
 ,16,11
 ,17,11
I,18,11
I,19,11
I,20,11
I,21,11
I,22,11
I,23,11
N,0,12
N,1,12
N,2,12
N,3,12
N,4,12
N,5,12
N,6,12
N,7,12
D,8,12
 ,9,12
R,10,12
R,11,12
R,12,12
R,13,12
R,14,12
 ,15,12
 ,16,12
 ,17,12
I,18,12
I,19,12
I,20,12
I,21,12
I,22,12
I,23,12
N,0,13
N,1,13
N,2,13
N,3,13
N,4,13
N,5,13
N,6,13
N,7,13
 ,8,13
 ,9,13
R,10,13
R,11,13
R,12,13
R,13,13
R,14,13
 ,15,13
 ,16,13
 ,17,13
 ,18,13
 ,19,13
D,20,13
 ,21,13
D,22,13
x,23,13
N,0,14
N,1,14
N,2,14
N,3,14
N,4,14
N,5,14
N,6,14
N,7,14
 ,8,14
 ,9,14
R,10,14
R,11,14
R,12,14
R,13,14
R,14,14
 ,15,14
 ,16,14
 ,17,14
L,18,14
L,19,14
L,20,14
L,21,14
L,22,14
x,23,14
N,0,15
N,1,15
N,2,15
N,3,15
N,4,15
N,5,15
N,6,15
N,7,15
 ,8,15
 ,9,15
R,10,15
R,11,15
R,12,15
R,13,15
R,14,15
 ,15,15
 ,16,15
L,17,15
L,18,15
L,19,15
L,20,15
L,21,15
L,22,15
L,23,15
x,0,16
 ,1,16
 ,2,16
 ,3,16
 ,4,16
 ,5,16
D,6,16
 ,7,16
 ,8,16
 ,9,16
R,10,16
R,11,16
R,12,16
R,13,16
